SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
Centuria Office REIT (ASX:COF),4565018,Office REIT,Public Company,Operating,Australia,0.58,"861,098","2,410,773",851.2,Centuria Office REIT
CFI-Compagnie Foncière Internationale (ENXTPA:CFI),4861873,Specialty REIT,Public Company,Operating,France,NA,0,38,0.5,CFI-Compagnie Foncière Interna
Champion Real Estate Investment Trust (SEHK:2778),4143467,Office REIT,Public Company,Operating,Hong Kong,0.31,"15,288,666","67,873,004","14,874.5",Champion REIT
Charter Hall Long WALE REIT (ASX:CLW),4825062,Diversified REIT,Public Company,Operating,Australia,0.41,"1,834,203","6,482,033","2,935.2",Charter Hall Long WALE REIT
Charter Hall Retail REIT (ASX:CQR),4143475,Retail REIT,Public Company,Operating,Australia,0.37,"1,044,500","4,045,000","2,231.9",Charter Hall Retail REIT
Charter Hall Social Infrastructure REIT (ASX:CQE),4686002,Specialty REIT,Public Company,Operating,Australia,0.37,"553,000","2,081,200","1,142.8",Charter Hall Social Infrastruc
Chatham Lodging Trust (NYSE:CLDT),4245309,Hotel REIT,Public Company,Operating,USA,0.70,"566,985","1,410,699",580.7,Chatham Lodging Trust
China Merchants Commercial Real Estate Investment Trust (SEHK:1503),19496752,Diversified REIT,Public Company,Operating,Hong Kong,0.55,"2,209,875","7,563,965","1,962.4",China Merchants Comm REIT
Choice Properties Real Estate Investment Trust (TSX:CHP.UN),4391351,Retail REIT,Public Company,Operating,Canada,3.70,"12,243,927","16,172,603","4,142.9",Choice Properties REIT
Citi Properties REIT (BUL:CITP),4862841,Diversified REIT,Public Company,Operating,Bulgaria,0.27,78,374,1.3,Citi Properties REIT
"City Office REIT, Inc. (NYSE:CIO)",4426536,Office REIT,Public Company,Operating,USA,0.76,"664,233","1,601,513",413.2,City Office REIT Inc.
Civitas Social Housing PLC (LSE:CSH),4846352,Residential REIT,Public Company,Operating,United Kingdom,0.52,"352,050","1,037,089",350.5,Civitas Social Housing PLC
Clipper Realty Inc. (NYSE:CLPR),4622994,Residential REIT,Public Company,Operating,USA,16.17,"1,131,154","1,233,657",111.2,Clipper Realty Inc.
Cofinimmo SA (ENXTBR:COFB),4143730,Healthcare REIT,Public Company,Operating,Belgium,0.78,"2,556,457","6,176,953","2,614.6",Cofinimmo
"Comforia Residential REIT, Inc (TSE:3282)",4375928,Residential REIT,Public Company,Operating,Japan,1.05,"141,630","282,277",212.7,Comforia Residential REIT Inc
Community Healthcare Trust Incorporated (NYSE:CHCT),4584959,Healthcare REIT,Public Company,Operating,USA,0.58,"269,393","754,233",752.4,Community Healthcare Trust Inc
"CorEnergy Infrastructure Trust, Inc. (NYSE:CORR)",4153194,Specialty REIT,Public Company,Operating,USA,0.84,"221,437","508,593",26.5,CorEnergy Infrastructure Trust
"Corpfin Capital Prime Retail II, SOCIMI, S.A. (BME:YPR2)",4863276,Retail REIT,Public Company,Operating,Spain,0.95,"5,466","11,300",4.7,Corpfin Cap Prime Retail II SO
Corporate Office Properties Trust (NYSE:OFC),103010,Office REIT,Public Company,Operating,USA,1.39,"2,301,646","4,262,452","2,771.7",Corporate Office Properties Tr
Cousins Properties Incorporated (NYSE:CUZ),102939,Office REIT,Public Company,Operating,USA,0.50,"2,290,534","7,312,034","3,451.2",Cousins Properties Inc.
Covivio (ENXTPA:COV),4143703,Office REIT,Public Company,Operating,France,0.89,"12,089,597","28,237,423","4,730.4",Covivio
CPN Commercial Growth Leasehold Property Fund (SET:CPNCG),4864376,Diversified REIT,Public Company,Operating,Thailand,0.21,"1,030,976","6,107,208","4,863.7",CPN Comm Growth Leasehold Ppty
CPN Retail Growth Leasehold REIT (SET:CPNREIT),4430772,Retail REIT,Public Company,Operating,Thailand,1.24,"41,876,160","78,971,454","47,251.8",CPN Retail Growth Leasehold
"CRE Logistics REIT, Inc. (TSE:3487)",9715126,Industrial REIT,Public Company,Operating,Japan,0.82,"61,869","140,960",107.6,CRE Logistics REIT Inc.
Crombie Real Estate Investment Trust (TSX:CRR.UN),4143678,Retail REIT,Public Company,Operating,Canada,1.41,"2,253,602","4,023,041","2,579.0",Crombie REIT
Cromwell European Real Estate Investment Trust (SGX:CWBU),8225689,Diversified REIT,Public Company,Operating,Singapore,0.63,"929,123","2,534,530",843.6,Cromwell European REIT
Cromwell Property Group (ASX:CMW),4381586,Office REIT,Public Company,Operating,Australia,0.81,"2,191,700","5,054,200","1,780.8",Cromwell Property Group
Crown Castle Inc. (NYSE:CCI),4417219,Specialty REIT,Public Company,Operating,USA,3.27,"27,009,000","39,040,000","53,519.3",Crown Castle Inc.
CSHG Desenvolvimento de Shoppings Populares FII,5732351,Retail REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,CSHG Desenvolvimento de Shoppi
CSHG TOP FOFII - Fundo De Investimento Imobiliário - FII,5736484,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,CSHG TOP FOFII - Fundo De Inve
CT Property Trust Limited (LSE:CTPT),4143596,Diversified REIT,Public Company,Operating,United Kingdom,0.30,"96,914","426,590",163.6,CT Property Trust Ltd.
CT Real Estate Investment Trust (TSX:CRT.UN),4409814,Retail REIT,Public Company,Operating,Canada,0.75,"2,753,635","6,500,102","3,509.4",CT REIT
"CTO Realty Growth, Inc. (NYSE:CTO)",4330724,Diversified REIT,Public Company,Operating,USA,0.65,"278,471","733,139",345.8,"CTO Realty Growth, Inc."
CubeSmart (NYSE:CUBE),4095755,Self-Storage REIT,Public Company,Operating,USA,1.13,"3,265,604","6,548,079","8,578.6",CubeSmart
Daiwa House REIT Investment Corporation (TSE:8984),4214880,Diversified REIT,Public Company,Operating,Japan,0.78,"407,550","964,670",659.3,Daiwa House REIT Investment
Daiwa Office Investment Corporation (TSE:8976),4214009,Office REIT,Public Company,Operating,Japan,0.80,"202,350","483,280",313.7,Daiwa Office Investment Corp.
Daiwa Securities Living Investment Corporation (TSE:8986),4214343,Residential REIT,Public Company,Operating,Japan,1.08,"178,887","350,956",246.2,Daiwa Securities Living
Dasin Retail Trust (SGX:CEDU),4884513,Retail REIT,Public Company,Operating,Singapore,0.86,"954,643","2,540,017",226.7,Dasin Retail Trust
Delta Property Fund Limited (JSE:DLT),4685676,Office REIT,Public Company,Operating,South Africa,1.37,"4,591,055","8,363,980",264.3,Delta Property Fund Ltd
Derwent London Plc (LSE:DLN),4143608,Office REIT,Public Company,Operating,United Kingdom,0.30,"1,320,000","5,892,000","2,248.1",Derwent London
"Desarrollos Ermita del Santo, SOCIMI, S.A. (BME:YDES)",20247233,Retail REIT,Public Company,Operating,Spain,NA,NA,NA,22.4,Desarrollos Ermita del Santo S
Deutsche Konsum REIT-AG (XTRA:DKG),4863321,Retail REIT,Public Company,Operating,Germany,1.32,"619,216","1,093,304",286.2,Deutsche Konsum REIT-AG
DEXUS (ASX:DXS),4143468,Office REIT,Public Company,Operating,Australia,0.36,"4,909,200","19,192,100","8,174.3",DEXUS
Dexus Industria REIT (ASX:DXI),4417178,Industrial REIT,Public Company,Operating,Australia,0.45,"514,104","1,715,754",805.9,Dexus Industria REIT
DiamondRock Hospitality Company (NYSE:DRH),4098626,Hotel REIT,Public Company,Operating,USA,0.77,"1,175,828","2,965,306","1,900.4",DiamondRock Hospitality Co.
Digital Core REIT (SGX:DCRU),101236930,Specialty REIT,Public Company,Operating,Singapore,0.32,"348,200","1,449,159",649.6,Digital Core REIT
"Digital Realty Trust, Inc. (NYSE:DLR)",4094311,Specialty REIT,Public Company,Operating,USA,0.81,"14,960,397","36,369,560","27,838.3",Digital Realty Trust Inc.
Dipula Income Fund Limited (JSE:DIB),4685993,Retail REIT,Public Company,Operating,South Africa,0.63,"3,540,148","9,526,791","2,032.4",Dipula Income Fund Ltd.
Diversified Healthcare Trust (NASDAQGS:DHC),4045490,Healthcare REIT,Public Company,Operating,USA,1.38,"3,680,876","6,623,514",255.9,Diversified Healthcare
Doğuş Gayrimenkul Yatırım Ortaklığı A.Ş. (IBSE:DGGYO),4234498,Diversified REIT,Public Company,Operating,Türkiye,4.85,"1,966,056","2,439,909","5,272.3",Doğuş GYO A.Ş.
Dolmen City REIT (KASE:DCR),4597786,Diversified REIT,Public Company,Operating,Pakistan,NA,NA,NA,"30,687.1",Dolmen City REIT
Domo Fundo de Investimento Imobiliário - FII (BOVESPA:RMAI11),4864423,Office REIT,Public Company,Operating,Brazil,NA,NA,NA,105.1,Domo Fundo de Investimento Imo
"Douglas Emmett, Inc. (NYSE:DEI)",4137375,Office REIT,Public Company,Operating,USA,1.26,"5,022,936","9,354,032","2,925.0",Douglas Emmett Inc.
Dream Industrial Real Estate Investment Trust (TSX:DIR.UN),4333623,Industrial REIT,Public Company,Operating,Canada,0.68,"2,376,489","6,053,566","2,739.0",Dream Industrial REIT
Dream Office Real Estate Investment Trust (TSX:D.UN),4105058,Office REIT,Public Company,Operating,Canada,0.91,"1,416,290","3,065,560",744.4,Dream Office REIT
Dream Residential Real Estate Investment Trust (TSX:DRR.U),105854718,Residential REIT,Public Company,Operating,Canada,2.65,"277,669","394,851",69.4,Dream Residential REIT
Dusit Thani Freehold and Leasehold Real Estate Investment Trust (SET:DREIT),4864302,Hotel REIT,Public Company,Operating,Thailand,0.36,"2,061,398","7,794,791","4,482.5",Dusit Thani Freehold & Leaseho
DXC Convenience Retail REIT (ASX:DXC),6673445,Retail REIT,Public Company,Operating,Australia,0.54,"299,611","873,122",380.3,DXC Convenience Retail REIT
Eagle Hospitality Trust (SGX:LIW),14952161,Hotel REIT,Public Company,Operating,Singapore,0.65,"505,142","1,362,204",119.6,Eagle Hospitality Trust
"Easterly Government Properties, Inc. (NYSE:DEA)",4573867,Office REIT,Public Company,Operating,USA,0.84,"1,212,720","2,826,112","1,460.5",Easterly Government Ppts Inc.
"EastGroup Properties, Inc. (NYSE:EGP)",102947,Industrial REIT,Public Company,Operating,USA,0.94,"1,476,708","3,215,336","6,235.7",EastGroup Properties Inc.
EC World Real Estate Investment Trust (SGX:BWCU),4754700,Industrial REIT,Public Company,Operating,Singapore,0.96,"721,493","1,895,263",384.7,EC World REIT
Ediston Property Investment Company plc (LSE:EPIC),4863285,Diversified REIT,Public Company,Operating,United Kingdom,0.58,"110,277","303,016",131.9,Ediston Ppty Invt Co plc
Elana Agricultural Land Fund REIT-Sofia (BUL:EALF),5762272,Diversified REIT,Public Company,Operating,Bulgaria,NA,NA,NA,9.5,Elana Agricultural Land Fund R
Elanor Commercial Property Fund (ASX:ECF),7780175,Office REIT,Public Company,Operating,Australia,0.49,"184,324","580,330",292.8,Elanor Comm Ppty Fund
Elanor Retail Property Fund (ASX:ERF),4825020,Retail REIT,Public Company,Operating,Australia,0.28,"41,689","204,539",99.6,Elanor Retail Property Fund
Elite Commercial REIT (SGX:MXNU),19774964,Office REIT,Public Company,Operating,Singapore,0.78,"225,098","533,364",233.3,Elite Commercial REIT
Elme Communities (NYSE:ELME),103036,Residential REIT,Public Company,Operating,USA,0.38,"501,546","1,875,994","1,572.4",Elme Communities
Embassy Office Parks REIT (NSEI:EMBASSY),11191262,Office REIT,Public Company,Operating,India,0.47,"121,361,500","451,958,790","325,620.5",Embassy Office Parks REIT
Emira Property Fund Limited (JSE:EMI),4259693,Diversified REIT,Public Company,Operating,South Africa,0.72,"5,622,932","14,071,564","5,071.6",Emira Property Fund Ltd.
Emirates REIT (CEIC) PLC (DIFX:REIT),4435839,Diversified REIT,Public Company,Operating,United Arab Emirates,1.85,"535,043","853,834",79.5,Emirates REIT (CEIC) PLC
Emlak Konut Gayrimenkul Yatırım Ortaklığı A.Ş. (IBSE:EKGYO),4429543,Residential REIT,Public Company,Operating,Türkiye,0.30,"4,790,413","30,760,452","17,632.0",Emlak Konut GYO A.Ş.
"Empire State Realty Trust, Inc. (NYSE:ESRT)",4313470,Diversified REIT,Public Company,Operating,USA,1.39,"2,339,257","4,282,447","1,142.5",Empire State Realty Trust Inc.
Empiric Student Property Plc (LSE:ESP),4537834,Residential REIT,Public Company,Operating,United Kingdom,0.57,"372,026","1,069,476",470.6,Empiric Student Property Plc
ENBD REIT (CEIC) PLC (DIFX:ENBDREIT),4937474,Diversified REIT,Public Company,Operating,United Arab Emirates,1.27,"211,627","393,215",98.0,ENBD REIT (CEIC) PLC
"Entrecampos Cuatro, Socimi, S.A. (BME:YENT)",4863242,Diversified REIT,Public Company,Operating,Spain,0.34,"21,840","100,784",93.4,"Entrecampos Cuatro, Socimi, S."
EPR Properties (NYSE:EPR),113645,Specialty REIT,Public Company,Operating,USA,1.15,"3,023,160","5,801,150","2,799.5",EPR Properties
"Equinix, Inc. (NASDAQGS:EQIX)",4570011,Specialty REIT,Public Company,Operating,USA,1.38,"14,994,913","27,918,698","48,688.8",Equinix Inc.
Equites Property Fund Limited (JSE:EQU),4544019,Industrial REIT,Public Company,Operating,South Africa,0.52,"9,039,208","27,740,130","12,648.0",Equites Property Fund Ltd.
"Equity LifeStyle Properties, Inc. (NYSE:ELS)",103066,Residential REIT,Public Company,Operating,USA,2.22,"3,304,883","5,307,871","10,863.3",Equity LifeStyle Properties
Equity Residential (NYSE:EQR),103054,Residential REIT,Public Company,Operating,USA,0.77,"8,653,788","21,169,241","24,150.6",Equity Residential
Erawan Hotel Growth Property Fund (SET:ERWPF),4864401,Hotel REIT,Public Company,Operating,Thailand,NA,0,"1,317,954",722.0,Erawan Hotel Growth Ppty Fund
ERG Capital-3 REIT-Sofia (BUL:ERG),4864085,Diversified REIT,Public Company,Operating,Bulgaria,NA,0,"8,576",10.6,ERG Capital-3 REIT-Sofia
"ESR Kendall Square REIT Co., Ltd. (KOSE:A365550)",19916978,Industrial REIT,Public Company,Operating,South Korea,0.92,"1,060,285","2,268,044",709.6,ESR Kendall Square REIT
ESR-LOGOS REIT (SGX:J91U),4188466,Industrial REIT,Public Company,Operating,Singapore,0.81,"1,418,535","3,329,765","2,139.3",ESR-LOGOS REIT
"Essential Properties Realty Trust, Inc. (NYSE:EPRT)",10701281,Diversified REIT,Public Company,Operating,USA,0.57,"1,175,141","3,298,795","2,760.7",Essential Properties Realty Tr
"Essex Property Trust, Inc. (NYSE:ESS)",103163,Residential REIT,Public Company,Operating,USA,1.03,"6,358,085","12,997,873","14,834.0",Essex Property Trust Inc.
Eurocommercial Properties N.V. (ENXTAM:ECMPA),4143772,Retail REIT,Public Company,Operating,Netherlands,0.82,"1,648,359","4,026,376","1,072.1",Eurocommercial Properties N.V.
European Residential Real Estate Investment Trust (TSX:ERE.UN),4383204,Residential REIT,Public Company,Operating,Canada,3.01,"1,330,475","1,887,685",250.3,European Residential REIT
"Excem Capital Partners Sociedad de Inversión Residencial Socimi, S.A. (BME:YEXR)",10769784,Residential REIT,Public Company,Operating,Spain,1.31,"13,558","24,798",8.8,Excem Cap Ptnrs Sociedad de In
Exclusive Property REIT-Sofia (BUL:EXPR),5760689,Diversified REIT,Public Company,Operating,Bulgaria,0.58,"7,891","22,956",14.2,Exclusive Property REIT-Sofia
Expat Beta Reit - Sofia (BUL:XBT),4862884,Diversified REIT,Public Company,Operating,Bulgaria,NA,0,"6,134",4.1,Expat Beta Reit - Sofia
Extra Space Storage Inc. (NYSE:EXR),4092889,Self-Storage REIT,Public Company,Operating,USA,1.67,"6,315,640","10,474,477","22,224.0",Extra Space Storage Inc.
Fair Value REIT-AG (DB:FVI),4204284,Diversified REIT,Public Company,Operating,Germany,0.46,"78,632","335,519",78.6,Fair Value REIT-AG
Fairplay Properties REIT (BUL:FPP),4862613,Diversified REIT,Public Company,Operating,Bulgaria,0.28,"19,027","89,379",42.2,Fairplay Properties REIT
Fairvest Limited (JSE:FTA),4627654,Diversified REIT,Public Company,Operating,South Africa,0.50,"1,228,332","3,822,849","5,489.5",Fairvest Ltd.
Far East Hospitality Trust (SGX:Q5T),4344578,Hotel REIT,Public Company,Operating,Singapore,0.57,"947,639","2,664,808","1,061.1",Far East Hospitality Trust
Farmland Partners Inc. (NYSE:FPI),4426904,Specialty REIT,Public Company,Operating,USA,1.08,"511,430","1,121,525",725.1,Farmland Partners Inc.
Federal Realty Investment Trust (NYSE:FRT),102950,Retail REIT,Public Company,Operating,USA,1.57,"4,192,240","7,622,320","7,465.4",Federal Realty Investment
Fibra Danhos (BMV:DANHOS 13),4433054,Diversified REIT,Public Company,Operating,Mexico,0.09,"5,736,926","68,039,779","37,307.0",Fibra Danhos
Fibra Inn (BMV:FINN 13),4424552,Hotel REIT,Public Company,Operating,Mexico,0.57,"4,176,794","11,878,409","1,767.7",Fibra Inn
FIBRA Macquarie México (BMV:FIBRAMQ 12),4408230,Industrial REIT,Public Company,Operating,Mexico,0.49,"16,419,466","50,906,898","19,656.5",FIBRA Macquarie México
"Fibra Mty, S.A.P.I. de C.V. (BMV:FMTY 14)",5000700,Office REIT,Public Company,Operating,Mexico,0.44,"5,477,360","18,808,265","11,803.2",Fibra Mty S.A.P.I. de C.V.
Fibra Plus (BMV:FPLUS 16),5882529,Diversified REIT,Public Company,Operating,Mexico,0.21,"2,150,993","15,057,427","4,846.9",Fibra Plus
FIBRA Prologis (BMV:FIBRAPL 14),4544093,Industrial REIT,Public Company,Operating,Mexico,0.43,"21,621,580","72,190,783","42,718.2",FIBRA Prologis
Fibra Shop (BMV:FSHOP 13),4543617,Retail REIT,Public Company,Operating,Mexico,0.81,"9,317,671","21,386,297","3,145.3",Fibra Shop
Fibra Terrafina (BMV:TERRA 13),4408231,Industrial REIT,Public Company,Operating,Mexico,0.61,"20,203,912","54,435,064","21,281.8",Fibra Terrafina
Fibra UNO (BMV:FUNO 11),4290344,Diversified REIT,Public Company,Operating,Mexico,0.80,"136,026,198","316,621,511","84,884.9",Fibra UNO
FibraHotel (BMV:FIHO 12),4425601,Hotel REIT,Public Company,Operating,Mexico,0.44,"4,985,894","16,975,236","6,231.6",FibraHotel
Fideicomiso Irrevocable No. F/1523 (BMV:FIBRAHD 15),5738905,Diversified REIT,Public Company,Operating,Mexico,0.90,"2,893,709","6,231,666","1,106.1",Fideicomiso Irrevocable No. F/
"Fideicomiso Irrevocable No. F/3277 en Banco Invex, S. A. Institución de Banca Mú (BMV:EDUCA 18)",10432112,Specialty REIT,Public Company,Operating,Mexico,0.00,"36,372","29,793,621","72,420.9",Fideicomiso Irrevocable No. F/
Fideicomiso Opsimex (BMV:FSITES 20),105926094,Specialty REIT,Public Company,Operating,Mexico,NA,NA,NA,NA,Fideicomiso Opsimex
Firm Capital Apartment Real Estate Investment Trust (TSXV:FCA.UN),4863191,Residential REIT,Public Company,Operating,Canada,0.59,"45,700","127,630",43.6,Firm Capital Apartment REIT
Firm Capital Property Trust (TSX:FCD.UN),4620265,Diversified REIT,Public Company,Operating,Canada,0.90,"264,969","576,356",216.9,Firm Capital Property Trust
First Capital Real Estate Investment Trust (TSX:FCR.UN),4074792,Retail REIT,Public Company,Operating,Canada,0.95,"4,425,520","10,109,074","3,191.0",First Capital REIT
"First Industrial Realty Trust, Inc. (NYSE:FR)",103177,Industrial REIT,Public Company,Operating,USA,0.73,"1,632,612","4,179,098","5,874.7",First Industrial Realty Trust
First Real Estate Investment Trust (SGX:AW9U),4188469,Healthcare REIT,Public Company,Operating,Singapore,0.54,"349,211","1,049,535",493.0,First REIT
First Real Estate Investment Trust of New Jersey (OTCPK:FREV.S),103080,Diversified REIT,Public Company,Operating,USA,9.37,"299,518","346,105",116.0,First REIT of New Jersey
Flagship Communities Real Estate Investment Trust (TSX:MHC.UN),25464524,Residential REIT,Public Company,Operating,USA,1.13,"363,967","695,125",261.0,Flagship Communities REIT
Fonciere Inea S.A. (ENXTPA:INEA),4862684,Office REIT,Public Company,Operating,France,0.95,"434,037","932,959",427.2,Fonciere Inea S.A.
Fortress REIT Limited (JSE:FFA),4303220,Diversified REIT,Public Company,Operating,South Africa,0.71,"19,117,067","47,588,829","15,331.7",Fortress REIT Ltd.
Fortune Real Estate Investment Trust (SEHK:778),4143510,Retail REIT,Public Company,Operating,Hong Kong,0.30,"8,840,517","39,724,711","9,938.1",Fortune REIT
Forucom REIT-Haskovo (BUL:FFI),4864080,Diversified REIT,Public Company,Operating,Bulgaria,7.38,"17,848","21,953",2.6,Forucom REIT-Haskovo
"Four Corners Property Trust, Inc. (NYSE:FCPT)",4625481,Specialty REIT,Public Company,Operating,USA,0.92,"883,208","1,902,980","1,931.4",Four Corners Property Trust
Four Springs Capital Trust,6216539,Diversified REIT,Public Company,Operating,USA,2.08,"260,010","449,394",NA,Four Springs Capital Trust
Frasers Centrepoint Trust (SGX:J69U),4188462,Retail REIT,Public Company,Operating,Singapore,0.46,"1,808,916","5,898,797","3,336.0",Frasers Centrepoint Trust
Frasers Hospitality Trust (SGX:ACV),4546970,Hotel REIT,Public Company,Operating,Singapore,0.79,"991,592","2,349,183",828.2,Frasers Hospitality Trust
Frasers Logistics & Commercial Trust (SGX:BUOU),4727754,Industrial REIT,Public Company,Operating,Singapore,0.58,"2,681,712","7,680,178","3,954.9",Frasers Logistics & Comm Trust
Frey SA (ENXTPA:FREY),4864132,Retail REIT,Public Company,Operating,France,0.63,"610,073","1,755,453","1,000.9",Frey SA
Frontier Real Estate Investment Corporation (TSE:8964),4211152,Retail REIT,Public Company,Operating,Japan,0.71,"123,400","330,352",269.7,Frontier Real Estate Invt Corp
Fubon No.1 Real Estate Investment Trust (TWSE:01001T),5895674,Office REIT,Public Company,Operating,Taiwan,0.17,"1,877,667","13,416,496","9,911.0",Fubon No.1 REIT
Fubon No.2 Real Estate Investment Trust (TWSE:01004T),4862621,Office REIT,Public Company,Operating,Taiwan,NA,0,"11,856,790","11,661.3",Fubon No.2 Real Estate Investm
Fukuoka REIT Corporation (TSE:8968),4214331,Retail REIT,Public Company,Operating,Japan,0.81,"82,400","198,745",127.9,Fukuoka REIT Corp.
Fund Estates REIT (BUL:FUES),5749878,Office REIT,Public Company,Operating,Bulgaria,15.57,"31,768","40,443",0.6,Fund Estates REIT
Fundo Brasílio Machado De Investimento Imobiliário,5731454,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Fundo Brasílio Machado De Inve
Fundo De Invest Imob Rep 1 CCS,5731620,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Fundo De Invest Imob Rep 1 CCS
Fundo de Investimento Imobiliário - FII Anhanguera Educacional (BOVESPA:FAED11),4862997,Self-Storage REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliário - FII Brasil Plural Absoluto Fundo de Fundos (BOVESPA:BPFF11),4864402,Diversified REIT,Public Company,Operating,Brazil,NA,0,"393,073",318.9,Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliário - FII BTG Pactual Corporate Office Fund (BOVESPA:BRCR11),4863071,Office REIT,Public Company,Operating,Brazil,0.17,"485,728","3,588,609","1,798.1",Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliário - FII Edifício Castelo,5734493,Office REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliario - FII Edificio Galeria (BOVESPA:EDGA11),4864413,Office REIT,Public Company,Operating,Brazil,NA,0,"328,233",69.8,Fundo de Investimento Imobilia
Fundo de Investimento Imobiliário - FII Floripa Shopping (BOVESPA:FLRP11),4862978,Retail REIT,Public Company,Operating,Brazil,NA,0,"109,176",101.8,Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliario - FII Vila Olimpia Corporate (BOVESPA:VLOL11),4864372,Office REIT,Public Company,Operating,Brazil,NA,NA,NA,190.9,Fundo de Investimento Imobilia
Fundo de Investimento Imobiliário BB Votorantim JHSF Cidade Jardim Continental T,5731753,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Fundo de Investimento Imobiliá
Fundo De Investimento Imobiliário Brasil Varejo,5736485,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Fundo De Investimento Imobiliá
Fundo de Investimento Imobiliario Edificio Almirante Barroso (BOVESPA:FAMB11B),4862816,Office REIT,Public Company,Operating,Brazil,NA,NA,NA,78.7,Fundo de Investimento Imobilia
Fundo de Investimento Imobiliário General Shopping Ativo e Renda - FII (BOVESPA:FIGS11),4864410,Retail REIT,Public Company,Operating,Brazil,NA,0,"270,551",151.2,Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliário Panamby (BOVESPA:PABY11),4864130,Residential REIT,Public Company,Operating,Brazil,NA,NA,NA,6.4,Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliário Projeto Água Branca (BOVESPA:FPAB11),4862941,Office REIT,Public Company,Operating,Brazil,NA,0,"342,002",151.5,Fundo de Investimento Imobiliá
Fundo de Investimento Imobiliário Rio Negro (BOVESPA:RNGO11),4864366,Diversified REIT,Public Company,Operating,Brazil,NA,0,"272,223",135.0,Fundo de Investimento Imobiliá
Fundo Invest Imobiliario Centro Textil Internacional - Cotas Fund (BOVESPA:CTXT11),4864387,Industrial REIT,Public Company,Operating,Brazil,NA,0,"119,661",44.3,Fundo Invest Imobiliario Centr
Fundo Investimento Imobiliário Infra Real Estate FII,5735095,Diversified REIT,Public Company,Operating,Brazil,NA,NA,NA,NA,Fundo Investimento Imobiliário
Future Park Leasehold Property Fund (SET:FUTUREPF),4864027,Retail REIT,Public Company,Operating,Thailand,0.87,"5,165,700","11,533,709","7,149.1",Future Park Leasehold Ppty Fun
"Gadsden Properties, Inc. (OTCEM:GADS)",4771798,Diversified REIT,Public Company,Operating,USA,NM,955,"4,804",0.2,Gadsden Properties
"Gaming and Leisure Properties, Inc. (NASDAQGS:GLPI)",4389214,Specialty REIT,Public Company,Operating,USA,2.00,"6,789,626","10,690,449","11,909.9",Gaming and Leisure Properties
Garda Property Group (ASX:GDF),4864493,Office REIT,Public Company,Operating,Australia,0.61,"259,028","694,997",315.3,Garda Property Group
"Gavari Properties Socimi, S.A. (BME:YGAV)",19947517,Residential REIT,Public Company,Operating,Spain,0.70,"8,769","21,420",14.6,Gavari Properties Socimi S.A.
GCP Student Living Plc,4397818,Residential REIT,Public Company,Operating,United Kingdom,0.34,"298,555","1,201,904",NA,Gemini Student Living Limited
GDI Property Group (ASX:GDI),4420558,Office REIT,Public Company,Operating,Australia,0.32,"246,780","1,059,384",413.5,GDI Property Group
Gecina (ENXTPA:GFC),4143708,Office REIT,Public Company,Operating,France,0.53,"6,910,097","20,439,026","6,123.4",Gecina
"General de Galerías Comerciales SOCIMI, S.A. (BME:YGGC)",6675606,Retail REIT,Public Company,Operating,Spain,0.11,"70,000","785,989","3,665.7",Genl de Galerías Comerciales S
"Generation Income Properties, Inc. (NASDAQCM:GIPR)",4673971,Diversified REIT,Public Company,Operating,USA,2.05,"28,969","53,421",11.2,Generation Income Properties
Getty Realty Corp. (NYSE:GTY),4066492,Retail REIT,Public Company,Operating,USA,0.82,"608,835","1,466,948","1,337.5",Getty Realty Corp.
Gladstone Commercial Corporation (NASDAQGS:GOOD),4088076,Diversified REIT,Public Company,Operating,USA,3.52,"713,035","1,143,352",645.6,Gladstone Commercial Corp.
Gladstone Land Corporation (NASDAQGM:LAND),4264067,Specialty REIT,Public Company,Operating,USA,1.23,"727,342","1,351,550",671.4,Gladstone Land Corp.
Glenstone REIT plc,4998866,Diversified REIT,Public Company,Operating,United Kingdom,0.28,"34,228","161,360",111.2,Glenstone REIT plc
Global Medical REIT Inc. (NYSE:GMRE),4677448,Healthcare REIT,Public Company,Operating,USA,0.90,"574,959","1,263,485",507.1,Global Medical REIT
