SP_ENTITY_NAME,SP_ENTITY_ID,MI_INDUSTRY_CLASSIFICATION,SP_COMPANY_TYPE,SP_COMPANY_STATUS,SP_COUNTRY_NAME,SP_DEBT_TO_EQUITY,SP_TOTAL_DEBT,SP_TOTAL_ASSETS,SP_MARKETCAP,SP_COMPANY_NAME_ABBR
Alkhabeer REIT Fund (SASE:4348),13380338,Diversified REIT,Public Company,Operating,Saudi Arabia,0.70,"762,301","1,933,639","1,094.2",Alkhabeer REIT Fund
"All Iron Re I Socimi, S.A. (BME:YAI1)",20262039,Hotel REIT,Public Company,Operating,Spain,0.35,"47,648","191,051",145.2,All Iron Re I Socimi S.A.
Alliance Developpement Capital SIIC (ENXTPA:ALDV),4279607,Residential REIT,Public Company,Operating,Belgium,0.01,457,"74,461",9.4,Alliance Developpement Cap SII
Allied Properties Real Estate Investment Trust (TSX:AP.UN),4105044,Office REIT,Public Company,Operating,Canada,0.56,"3,610,834","10,384,691","3,576.4",Allied Properties REIT
Ally Leasehold Real Estate Investment Trust (SET:ALLY),4864409,Retail REIT,Public Company,Operating,Thailand,0.49,"4,106,228","13,094,495","6,380.9",Ally Leasehold REIT
"Alpine Income Property Trust, Inc. (NYSE:PINE)",19353248,Diversified REIT,Public Company,Operating,USA,1.17,"267,740","505,514",206.1,Alpine Income Property Trust
Al-Salām Real Estate Investment Trust (KLSE:ALSREIT),4626731,Diversified REIT,Public Company,Operating,Malaysia,1.08,"635,657","1,253,500",249.4,Al-Salām REIT
alstria office REIT-AG (XTRA:AOX),4160242,Office REIT,Public Company,Operating,Germany,0.51,"1,711,968","5,234,372","1,426.3",alstria office REIT-AG
Altarea SCA (ENXTPA:ALTA),4159301,Residential REIT,Public Company,Operating,France,1.04,"3,700,500","9,359,400","2,713.2",Altarea SCA
Alternative Income REIT Plc (LSE:AIRE),6662447,Diversified REIT,Public Company,Operating,United Kingdom,0.53,"40,955","121,700",58.0,Alternative Income REIT Plc
Alteron REIT (BUL:ALT),5784819,Self-Storage REIT,Public Company,Operating,Bulgaria,0.61,"23,549","63,111",36.1,Alteron REIT
